creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,parsed_cost,CTR,CPC,CPM,engajamentoneural,engajamentoneural_5sec,engajamentoneural_peak,cognitivedemand,cognitivedemand_5sec,cognitivedemand_peak,focus,focus_5sec,focus_peak,embedding_mean,fluency_index,peak_score,engajamentoneural_last_5sec,cognitivedemand_last_5sec,focus_last_5sec,cost_interval,trimester
facebook,120213570909230197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120213570909230197_120213570909230197_facebook_9.jpeg,,82629918,223809.0,"R$ 811.462,31",03/06/2024,05/07/2024,811462.31,0.2708571004511949,3.62569114736226,9.82044191306108,85.33535398656586,85.33535398656586,85.33535398656586,69.09306339328664,69.09306339328664,69.09306339328664,8.068768135725612,8.068768135725612,8.068768135725612,,10.576007706645022,85.33535398656586,,,,High,2024_Q2
aparelho,120225066930440750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120225066930440750_120225066930440750_facebook_9.jpeg,,82504112,551508.0,"R$ 758.568,29",25/04/2025,16/05/2025,758568.29,0.6684612277264435,1.3754438557554922,9.194308884871097,85.24628952796382,85.24628952796382,85.24628952796382,88.75211849507257,88.75211849507257,88.75211849507257,9.99460531021381,9.99460531021381,9.99460531021381,,8.529230207905048,85.24628952796382,,,,High,2025_Q2
alltype,120219963898640197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120219963898640197_120219963898640197_facebook_9.jpeg,,80386313,266396.0,"R$ 664.492,37",03/02/2025,23/04/2025,664492.37,0.3313947238754438,2.494378181354074,8.266237686507653,75.80196489710816,75.80196489710816,75.80196489710816,81.68865294907644,81.68865294907644,81.68865294907644,7.834046516090276,7.834046516090276,7.834046516090276,,9.67596563811808,75.80196489710816,,,,High,2025_Q1
facebook,120204042349660197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042349660197_120204042349660197_facebook_9.jpeg,,78048283,210442.0,"R$ 661.018,81",02/12/2023,08/02/2024,661018.81,0.2696305311418574,3.1410973569914753,8.469357487338959,78.59395442593664,78.59395442593664,78.59395442593664,62.213779717994555,62.213779717994555,62.213779717994555,23.455700301486427,23.455700301486427,23.455700301486427,,3.3507400510636645,78.59395442593664,,,,High,2023_Q4
meta,23860547120450408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860547120450408_23860547120450408_facebook_9.jpeg,,74546601,41271.0,"R$ 649.269,06",22/09/2023,07/01/2024,649269.06,0.0553626851477775,15.73184705967871,8.709572955579826,56.98099883707617,56.98099883707617,56.98099883707617,67.86789049303277,67.86789049303277,67.86789049303277,10.5737972010699,10.5737972010699,10.5737972010699,,5.388887052922728,56.98099883707617,,,,High,2023_Q3
kv-hero,120218102995100197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120218102995100197_120218102995100197_facebook_9.jpeg,,69852816,233609.0,"R$ 623.920,08",10/12/2024,17/04/2025,623920.08,0.3344303256149329,2.670787854919973,8.931924519692949,84.79826885468012,84.79826885468012,84.79826885468012,52.16091622897299,52.16091622897299,52.16091622897299,38.376227285929254,38.376227285929254,38.376227285929254,,2.209656207809975,84.79826885468012,,,,High,2024_Q4
pais-chip-gratis-v2,120234275827920197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120234275827920197_120234275827920197_facebook_9.jpeg,,68842375,338677.0,"R$ 622.777,52",18/07/2025,16/08/2025,622777.52,0.4919600754622426,1.8388538932375096,9.046427000811637,85.15670057389372,85.15670057389372,85.15670057389372,85.96450405825307,85.96450405825307,85.96450405825307,8.984506654815739,8.984506654815739,8.984506654815739,,9.478172129601496,85.15670057389372,,,,High,2025_Q3
interesses-relacionados,120207468072780370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120207468072780370_120207468072780370_facebook_9.jpeg,,63164803,54811.0,"R$ 601.900,45",12/01/2024,26/02/2024,601900.45,0.0867745918561639,10.98138056229589,9.52904816310438,78.27496810915959,78.27496810915959,78.27496810915959,90.05039198189432,90.05039198189432,90.05039198189432,11.282778386299077,11.282778386299077,11.282778386299077,,6.93756142584619,78.27496810915959,,,,High,2024_Q1
kv-hero,120218026550270197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120218026550270197_120218026550270197_facebook_9.jpeg,,62342369,260544.0,"R$ 593.302,88",10/12/2024,17/04/2025,593302.88,0.4179244455724805,2.27716961434537,9.51684848549788,74.73237871747249,74.73237871747249,74.73237871747249,50.72457563588425,50.72457563588425,50.72457563588425,7.983347208659075,7.983347208659075,7.983347208659075,,9.3610332563783,74.73237871747249,,,,High,2024_Q4
as-abc-25,120214669379000409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120214669379000409_120214669379000409_facebook_9.jpeg,,61876038,87451.0,"R$ 576.602,14",16/09/2024,17/10/2024,576602.14,0.1413325785338744,6.593431064253124,9.318666136962422,85.33047751619742,85.33047751619742,85.33047751619742,85.5513151048656,85.5513151048656,85.5513151048656,9.025916085908348,9.025916085908348,9.025916085908348,,9.45394093009784,85.33047751619742,,,,High,2024_Q3
