creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date
ampla,120211643912340670,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1489403321498685_120211643912340670_120211643912340670_facebook_9.jpeg,,91586,436.0,"R$ 1.000,00",14/08/2024,07/09/2024
ead,120240565492860409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120240565492860409_120240565492860409_facebook_9.jpeg,,91521,19.0,"R$ 1.000,00",08/12/2025,13/12/2025
wifi-users,120216649359090409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120216649359090409_120216649359090409_facebook_9.jpeg,,91250,309.0,"R$ 1.000,00",04/12/2024,10/01/2025
maes-gb-preco,120226987156430197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226987156430197_120226987156430197_facebook_9.jpeg,,91150,257.0,"R$ 1.000,00",16/04/2025,16/05/2025
the-last-of-us|conteudo|max-1gb|contrate-agora,120228539281830409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120228539281830409_120228539281830409_facebook_9.jpeg,,91080,419.0,"R$ 1.000,00",22/05/2025,15/07/2025
facebook,120208264946610197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208264946610197_120208264946610197_facebook_9.jpeg,,90997,306.0,"R$ 1.000,00",08/02/2024,03/04/2024
controle-2,120217400722470197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217400722470197_120217400722470197_facebook_9.jpeg,,90922,466.0,"R$ 1.000,00",15/11/2024,13/12/2024
facebook,120208752332510197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208752332510197_120208752332510197_facebook_9.jpeg,,90856,587.0,"R$ 1.000,00",19/02/2024,03/04/2024
 priceup,23860239190450408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860239190450408_23860239190450408_facebook_9.jpeg,,90759,262.0,"R$ 1.000,00",18/09/2023,02/10/2023
consulte-disponibilidade,120211609901100409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120211609901100409_120211609901100409_facebook_9.jpeg,,90419,898.0,"R$ 1.000,00",15/05/2024,14/06/2024
the-last-of-us|conteudo|hbo-max-600mb|contrate-agora,120239441697680409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120239441697680409_120239441697680409_facebook_9.jpeg,,89986,779.0,"R$ 1.000,00",18/11/2025,20/01/2026
step-1,120231287117640379,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/584486016365317_120231287117640379_120231287117640379_facebook_9.jpeg,,89965,920.0,"R$ 1.000,00",01/09/2025,03/11/2025
ampla,120212352467050379,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/584486016365317_120212352467050379_120212352467050379_facebook_9.jpeg,,88979,741.0,"R$ 999,94",03/10/2024,05/11/2024
homem-fone|gameplay-sem-lag|gamers|saiba-mais,120221999005170409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120221999005170409_120221999005170409_facebook_9.jpeg,,88733,181.0,"R$ 999,51",26/03/2025,10/02/2026
paramount,120216276681970197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120216276681970197_120216276681970197_facebook_9.jpeg,,88439,403.0,"R$ 999,43",02/10/2024,05/11/2024
ampla,120215020426360670,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1489403321498685_120215020426360670_120215020426360670_facebook_9.jpeg,,88374,2056.0,"R$ 999,21",17/12/2024,05/01/2025
ampla,120215020152680670,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1489403321498685_120215020152680670_120215020152680670_facebook_9.jpeg,,88208,2064.0,"R$ 998,11",17/12/2024,03/01/2025
controle-premium-2,120217115685640197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217115685640197_120217115685640197_facebook_9.jpeg,,87337,1381.0,"R$ 994,74",04/11/2024,09/12/2024
kv-hero,120229641323150197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120229641323150197_120229641323150197_facebook_9.jpeg,,87327,550.0,"R$ 994,22",15/05/2025,20/06/2025
facebook,120201428883860197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120201428883860197_120201428883860197_facebook_9.jpeg,,87282,324.0,"R$ 992,32",06/10/2023,01/11/2023
controle-premium-2,120217115635140197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217115635140197_120217115635140197_facebook_9.jpeg,,87262,541.0,"R$ 991,36",04/11/2024,10/12/2024
meta,23855829119520408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23855829119520408_23855829119520408_facebook_9.jpeg,,87111,611.0,"R$ 989,77",08/06/2023,18/06/2023
kv-ligacoes-ilimitadas,120245593511890197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120245593511890197_120245593511890197_facebook_9.jpeg,,87076,828.0,"R$ 989,75",10/01/2026,10/02/2026
controle-premium-1,120217109112240197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217109112240197_120217109112240197_facebook_9.jpeg,,86630,1456.0,"R$ 989,03",04/11/2024,10/12/2024
flash-sales-kv1,120220108494400197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120220108494400197_120220108494400197_facebook_9.jpeg,,86578,645.0,"R$ 988,16",08/02/2025,19/02/2025
meta,120213206726900409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213206726900409_120213206726900409_facebook_9.jpeg,,86073,119.0,"R$ 986,34",11/07/2024,17/07/2024
facebook,120207337249760197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120207337249760197_120207337249760197_facebook_9.jpeg,,85567,390.0,"R$ 983,78",23/01/2024,19/02/2024
facebook,120203322447650197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120203322447650197_120203322447650197_facebook_9.jpeg,,85375,679.0,"R$ 982,07",20/11/2023,02/12/2023
