creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,filename,category
btl,120219823107070197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120219823107070197_120219823107070197_facebook_9.jpeg,,30807756,89621.0,"R$ 287.162,45",03/02/2025,09/04/2025,1008236073176348_120219823107070197_120219823107070197_facebook_9.jpeg,
hero-mensagem-chegou,120218764639210409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120218764639210409_120218764639210409_facebook_9.jpeg,,30719751,20648.0,"R$ 287.121,51",10/02/2025,01/05/2025,707505037025219_120218764639210409_120218764639210409_facebook_9.jpeg,
kv-fitness,120228143445590197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120228143445590197_120228143445590197_facebook_9.jpeg,,30502428,151179.0,"R$ 286.772,31",01/05/2025,07/06/2025,1008236073176348_120228143445590197_120228143445590197_facebook_9.jpeg,
as-25-interesses,120214967377250750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120214967377250750_120214967377250750_facebook_9.jpeg,,30116697,12948.0,"R$ 286.019,68",01/11/2024,19/11/2024,5465078893513624_120214967377250750_120214967377250750_facebook_9.jpeg,
30gb-64m,120208209720180197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208209720180197_120208209720180197_facebook_9.jpeg,,30068966,122787.0,"R$ 285.979,67",07/02/2024,19/04/2024,1008236073176348_120208209720180197_120208209720180197_facebook_9.jpeg,
kv-chip-gratis-bbb,120246151939850197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120246151939850197_120246151939850197_facebook_9.jpeg,,29613646,149436.0,"R$ 285.200,05",21/01/2026,10/02/2026,1008236073176348_120246151939850197_120246151939850197_facebook_9.jpeg,
mion-mostrando|ultravelocidade|whats-app|chame-no-whats,120212594114480409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120212594114480409_120212594114480409_facebook_9.jpeg,,29327235,175667.0,"R$ 261.977,01",14/06/2024,17/05/2025,707505037025219_120212594114480409_120212594114480409_facebook_9.jpeg,
demografico-e-interesses,120208120106230750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120208120106230750_120208120106230750_facebook_9.jpeg,,28855495,31341.0,"R$ 261.959,80",06/03/2024,13/03/2024,5465078893513624_120208120106230750_120208120106230750_facebook_9.jpeg,
btl,120217050759200197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217050759200197_120217050759200197_facebook_9.jpeg,,28451490,145484.0,"R$ 259.742,82",01/11/2024,11/12/2024,1008236073176348_120217050759200197_120217050759200197_facebook_9.jpeg,
oferta-bonus,120207030098060409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120207030098060409_120207030098060409_facebook_9.jpeg,,28300702,86483.0,"R$ 257.467,55",05/02/2024,11/06/2024,707505037025219_120207030098060409_120207030098060409_facebook_9.jpeg,
kv-hero,120231933886410197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120231933886410197_120231933886410197_facebook_9.jpeg,,28148372,78344.0,"R$ 252.814,13",18/06/2025,08/07/2025,1008236073176348_120231933886410197_120231933886410197_facebook_9.jpeg,
gross,120215820803980197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120215820803980197_120215820803980197_facebook_9.jpeg,,27830027,69567.0,"R$ 251.085,18",13/09/2024,03/10/2024,1008236073176348_120215820803980197_120215820803980197_facebook_9.jpeg,
pracas-cobertura,23853529511480408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853529511480408_23853529511480408_facebook_9.jpeg,,27822729,102231.0,"R$ 248.386,24",16/01/2023,08/06/2023,707505037025219_23853529511480408_23853529511480408_facebook_9.jpeg,
interesses-relacionados,120216657350900370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120216657350900370_120216657350900370_facebook_9.jpeg,,26972912,23037.0,"R$ 247.635,22",13/09/2024,26/09/2024,5006651156112143_120216657350900370_120216657350900370_facebook_9.jpeg,
