creative_name,creative_id,public_storage_url,video_public_storage_url,from_date,last_date,impressions,clicks,parsed_cost,cost,CTR,CPM,CPC,engajamentoneural,cognitivedemand,focus
meta,120213303027130409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213303027130409_120213303027130409_facebook_9.jpeg,,16/07/2024,24/09/2024,34892333,58629.0,359055.06,"R$ 359.055,06",0.0016802831728104,10.290371240008517,6.1241887120708185,74.24921542124909,86.1196716799245,10.164171854362491
facebook,120213571388610197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120213571388610197_120213571388610197_facebook_9.jpeg,,03/06/2024,25/07/2024,34833087,93434.0,355373.57,"R$ 355.373,57",0.002682334758329,10.20218420491988,3.8034716484363296,80.15208450126556,67.56090927925726,7.924640224209467
facebook,120215503603970197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120215503603970197_120215503603970197_facebook_9.jpeg,,02/09/2024,14/09/2024,34536337,104229.0,355266.93,"R$ 355.266,93",0.0030179517879965,10.286757683653596,3.4085228679158392,75.13645827651476,63.15038956770933,8.169766394110201
hero-mensagem-chegou,120218766915110409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120218766915110409_120218766915110409_facebook_9.jpeg,,10/02/2025,01/05/2025,34500194,22077.0,344762.52,"R$ 344.762,52",0.0006399094451468,9.993060328878151,15.616366354124205,82.48610012557234,88.68937785226598,17.361083375416776
kv-custo-beneficio-v2,120243634641270197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120243634641270197_120243634641270197_facebook_9.jpeg,,03/12/2025,10/01/2026,34454578,141233.0,338842.78,"R$ 338.842,78",0.0040991069459623,9.83447772891022,2.399175688401436,73.39162905463016,82.51292145248998,7.883659506789553
chegada-praca,120231943255310409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120231943255310409_120231943255310409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120231943255310409_120231943255310409_facebook_9.mp4,22/07/2025,13/09/2025,34161060,32068.0,337166.41,"R$ 337.166,41",0.0009387296530025,9.869904798036126,10.51410783335412,78.11551434075385,72.68956556447887,44.23364542404184
kv-gb-preco,120238637064710197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120238637064710197_120238637064710197_facebook_9.jpeg,,19/09/2025,01/11/2025,33971679,115251.0,336748.91,"R$ 336.748,91",0.0033925611978142,9.91263664065588,2.921874083522052,75.71341398691237,72.604947486574,7.969251475429973
pre-pago,120219253407260370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120219253407260370_120219253407260370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120219253407260370_120219253407260370_facebook_9.mp4,01/01/2025,31/01/2025,33769190,16825.0,336053.46,"R$ 336.053,46",0.0004982352256598,9.951481217050215,19.973459732540864,66.84336388047863,76.62883627408067,12.330972681680748
kv-portabilidade,120238596342780197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120238596342780197_120238596342780197_facebook_9.jpeg,,19/09/2025,31/10/2025,33311990,118973.0,331007.06,"R$ 331.007,06",0.0035714768166056,9.936574188452866,2.7822031889588392,71.90711830178036,75.30152788542267,8.100715692996596
meta,23860547120460408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860547120460408_23860547120460408_facebook_9.jpeg,,22/09/2023,06/01/2024,32904743,3180.0,324980.03,"R$ 324.980,03",9.664260255732736e-05,9.876388640993186,102.1949779874214,76.1752095088124,59.191652443313544,9.963417044190104
facebook,120204028881700197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204028881700197_120204028881700197_facebook_9.jpeg,,01/12/2023,08/02/2024,32855074,109694.0,321593.4,"R$ 321.593,40",0.0033387232669145,9.788241536147508,2.931731908764381,75.38231834143564,86.43359605090947,7.86538237277159
pracas-cobertura,23853529625290408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853529625290408_23853529625290408_facebook_9.jpeg,,16/01/2023,18/06/2023,32758285,124670.0,319289.32,"R$ 319.289,32",0.0038057547884451,9.746826489848294,2.5610758001122966,79.70775682509034,77.46180460983025,8.21025308245964
interesses-relacionados,120210006065220750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120210006065220750_120210006065220750_facebook_9.jpeg,,26/04/2024,11/05/2024,31420516,10611.0,309423.16,"R$ 309.423,16",0.0003377092852326,9.847806445953974,29.160603147676937,48.868931170774914,65.9340234297277,10.673235742644538
demografica,120211265363360439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1640492266333423_120211265363360439_120211265363360439_facebook_9.jpeg,,02/06/2024,19/08/2024,31350124,34105.0,307342.95,"R$ 307.342,95",0.0010878744849621,9.803564094355735,9.01166837707081,61.058249387411415,71.35236856286944,12.31061136543996
,120221763466840439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221763466840439_120221763466840439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221763466840439_120221763466840439_facebook_9.mp4,18/03/2025,13/05/2025,31144711,18521.0,300337.61,"R$ 300.337,61",0.0005946756096083,9.643294169594316,16.216057988229576,72.26648886900328,70.82017439931603,32.83957469214568
timmusic-ing-esgotado-teste-a,120221761713210439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221761713210439_120221761713210439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221761713210439_120221761713210439_facebook_9.mp4,18/03/2025,13/05/2025,31050576,17980.0,288925.2,"R$ 288.925,20",0.0005790552806492,9.30498680604186,16.069254727474974,72.26648886900328,70.82017439931603,32.83957469214568
btl,120219823107070197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120219823107070197_120219823107070197_facebook_9.jpeg,,03/02/2025,09/04/2025,30807756,89621.0,287162.45,"R$ 287.162,45",0.0029090401780642,9.321108944124331,3.204187076689615,68.16831795245976,68.18058587287864,31.80562938005559
