creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,parsed_cost,CTR,CPC,CPM,engajamentoneural,engajamentoneural_5sec,engajamentoneural_peak,cognitivedemand,cognitivedemand_5sec,cognitivedemand_peak,focus,focus_5sec,focus_peak,embedding_mean,fluency_index,peak_score
mulher-camisa-listada|qualidade|contrate-facil|contrate-rapido,120221999264710409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120221999264710409_120221999264710409_facebook_9.jpeg,,23103,77.0,"R$ 299,65",05/05/2025,09/02/2026,299.65,0.3332900489113968,3.891558441558441,12.970177033285719,51.97509662962329,51.97509662962329,51.97509662962329,56.514005641235975,56.514005641235975,56.514005641235975,23.276800106406593,23.276800106406593,23.276800106406593,,2.232914163116343,51.97509662962329
oferta,120217713996650370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120217713996650370_120217713996650370_facebook_9.jpeg,,23089,193.0,"R$ 299,61",30/10/2024,09/01/2025,299.61,0.8358958811555286,1.5523834196891193,12.97630906492269,72.70184075583091,72.70184075583091,72.70184075583091,60.54039207263231,60.54039207263231,60.54039207263231,31.408045207019132,31.408045207019132,31.408045207019132,,2.3147521686444645,72.70184075583091
pix,120242320212640370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120242320212640370_120242320212640370_facebook_9.jpeg,,23060,255.0,"R$ 299,12",01/11/2025,18/11/2025,299.12,1.1058109280138768,1.1730196078431372,12.971379011274935,72.24460840326596,72.24460840326596,72.24460840326596,83.1544357783636,83.1544357783636,83.1544357783636,8.23699690383808,8.23699690383808,8.23699690383808,,8.770746091892196,72.24460840326596
mion-teclando|comecar-o-ano|sazonalidade|contrate,120219445987340409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120219445987340409_120219445987340409_facebook_9.jpeg,,23053,70.0,"R$ 298,86",28/02/2025,13/03/2025,298.86,0.3036481152127706,4.269428571428572,12.964039387498374,90.6161683338871,90.6161683338871,90.6161683338871,87.53151574608533,87.53151574608533,87.53151574608533,8.166859015089889,8.166859015089889,8.166859015089889,,11.095596013896627,90.6161683338871
ampla,120208946605140670,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1489403321498685_120208946605140670_120208946605140670_facebook_9.jpeg,,23003,254.0,"R$ 298,54",25/04/2024,22/05/2024,298.54,1.1042037995044125,1.1753543307086616,12.978307177324698,91.32309960817246,91.32309960817246,91.32309960817246,62.53132292057144,62.53132292057144,62.53132292057144,27.347771884200956,27.347771884200956,27.347771884200956,,3.33932504610844,91.32309960817246
iza-apontando-esquerda|oferta|mes-do-cliente|contrate-agora-e-aproveite,120235788784530409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120235788784530409_120235788784530409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120235788784530409_120235788784530409_facebook_9.mp4,22961,245.0,"R$ 298,30",18/09/2025,02/10/2025,298.3,1.067026697443491,1.2175510204081632,12.99159444275075,65.91452154638563,54.897515138306424,74.07342244759403,62.15053073818723,47.3812410900759,78.54044400044378,29.644414429010464,28.249777345621993,64.79136732088288,-0.018067749868835865,2.22350560184723,74.07342244759403
mion-controle-pipoca|filmes-series-games|ferias|contrate,120219491596630409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120219491596630409_120219491596630409_facebook_9.jpeg,,22954,61.0,"R$ 298,23",28/02/2025,13/03/2025,298.23,0.2657488890825128,4.889016393442623,12.992506752635707,89.3121340723734,89.3121340723734,89.3121340723734,93.28979613122728,93.28979613122728,93.28979613122728,11.062482362497295,11.062482362497295,11.062482362497295,,8.073426121351272,89.3121340723734
hero,120226392412760409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120226392412760409_120226392412760409_facebook_9.jpeg,,22932,343.0,"R$ 296,95",07/05/2025,30/06/2025,296.95,1.4957264957264957,0.8657434402332361,12.949154020582592,75.9025539829274,75.9025539829274,75.9025539829274,75.67764238758437,75.67764238758437,75.67764238758437,7.968327652028795,7.968327652028795,7.968327652028795,,9.525531240372885,75.9025539829274
pessoas-curtindo|ferias-sem-sair-de-casa|ferias|contrate,120220496111420409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120220496111420409_120220496111420409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120220496111420409_120220496111420409_facebook_9.mp4,22908,127.0,"R$ 296,11",28/02/2025,13/03/2025,296.11,0.5543914789593155,2.331574803149606,12.926052034223853,80.09847575108569,80.92910858570119,89.18168505694557,59.36408598679398,59.07713448247425,63.485323374966576,36.2648382651489,36.43297464632466,46.411278770005666,-0.016891770505656798,2.2087090300927006,89.18168505694557
mion-binoculo|imperdivel|naked-500mb|contrate-agora,120216961151170409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120216961151170409_120216961151170409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120216961151170409_120216961151170409_facebook_9.mp4,22822,200.0,"R$ 295,09",16/12/2024,14/03/2025,295.09,0.8763473841030585,1.47545,12.930067478748576,75.16336637530051,82.15382805658764,90.08860578191835,72.97501115905051,68.32865434288196,91.94479253161956,23.151649642813176,23.823943044972104,53.12986648109571,-0.018355570498646962,3.246566336953575,90.08860578191835
-,120209133350180409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120209133350180409_120209133350180409_facebook_9.jpeg,,22787,63.0,"R$ 294,93",18/03/2024,21/03/2024,294.93,0.2764734278316584,4.6814285714285715,12.942906042919208,69.56055238481017,69.56055238481017,69.56055238481017,65.79514476610501,65.79514476610501,65.79514476610501,8.740468333073359,8.740468333073359,8.740468333073359,,7.958446817042698,69.56055238481017
facebook,120209970922410197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120209970922410197_120209970922410197_facebook_9.jpeg,,22768,31.0,"R$ 294,73",13/03/2024,20/03/2024,294.73,0.13615600843288825,9.50741935483871,12.944922698524245,78.80802106445991,78.80802106445991,78.80802106445991,77.70563667859966,77.70563667859966,77.70563667859966,7.948161545372079,7.948161545372079,7.948161545372079,,9.915251547742749,78.80802106445991
brandlovers-ugc-f2,120235618708710080,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1293690292045551_120235618708710080_120235618708710080_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1293690292045551_120235618708710080_120235618708710080_facebook_9.mp4,22747,60.0,"R$ 293,93",28/11/2025,01/12/2025,293.93,0.2637710467314371,4.898833333333333,12.921703960961887,67.22662411999937,75.10996639985778,83.45212471480288,60.149195050235434,52.82019501289119,71.63737640133863,35.58059989360197,49.736607196560996,65.2908081605253,-0.02103944360889939,1.8894179502602462,83.45212471480288
meta,23855720781160408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23855720781160408_23855720781160408_facebook_9.jpeg,,22615,294.0,"R$ 290,36",02/06/2023,12/06/2023,290.36,1.3000221092195445,0.9876190476190476,12.839265973911122,82.801714846464,82.801714846464,82.801714846464,91.50696516404115,91.50696516404115,91.50696516404115,7.856482435992063,7.856482435992063,7.856482435992063,,10.539285936303168,82.801714846464
mion-binoculo|imperdivel|naked-600mb|contrate-agora,120216676882250409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120216676882250409_120216676882250409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120216676882250409_120216676882250409_facebook_9.mp4,22601,87.0,"R$ 290,28",04/12/2024,10/03/2025,290.28,0.3849387195256847,3.3365517241379306,12.843679483208707,78.33559086063653,79.48931598931222,89.04220053544172,63.10589446571567,63.356163331566584,74.33223084205692,25.271283450702207,25.133488367138977,49.29498276765704,-0.01978847144365621,3.0997868000431863,89.04220053544172
iza-venha|oferta|mes-do-cliente|chame-no-whats,120236046854070409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120236046854070409_120236046854070409_facebook_9.jpeg,,22519,299.0,"R$ 290,02",23/09/2025,01/10/2025,290.02,1.3277676628624717,0.9699665551839465,12.878902260313511,86.99639185479664,86.99639185479664,86.99639185479664,91.98205155904569,91.98205155904569,91.98205155904569,7.87261666370318,7.87261666370318,7.87261666370318,,11.050505260327846,86.99639185479664
kv-hero-bbb,120246237126830197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120246237126830197_120246237126830197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120246237126830197_120246237126830197_facebook_9.mp4,22518,125.0,"R$ 289,15",23/01/2026,10/02/2026,289.15,0.5551114663824496,2.3131999999999997,12.840838440358823,69.84345493564972,65.76107204409851,76.90272128951473,55.550535703800044,55.05086670585884,66.396613243664,16.505130665417628,11.585800786679522,38.567018900887504,-0.02177092596862672,4.2316208427231174,76.90272128951473
mion-elementos|imperdivel|naked-1gb|contratar-agora,120217233306620409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120217233306620409_120217233306620409_facebook_9.jpeg,,22509,71.0,"R$ 289,01",06/01/2025,13/03/2025,289.01,0.3154293838020347,4.07056338028169,12.839752987693812,75.043297620527,75.043297620527,75.043297620527,80.90901528782553,80.90901528782553,80.90901528782553,18.711793616092763,18.711793616092763,18.711793616092763,,4.010481259048693,75.043297620527
2gb,23859528871890408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23859528871890408_23859528871890408_facebook_9.jpeg,,22466,34.0,"R$ 288,74",06/09/2023,23/10/2023,288.74,0.1513398023680228,8.49235294117647,12.852310157571443,67.53860786039536,67.53860786039536,67.53860786039536,86.6242813318697,86.6242813318697,86.6242813318697,13.127143745355419,13.127143745355419,13.127143745355419,,5.144958352748406,67.53860786039536
mion-venha|oferta-imperdivel|mes-do-consumidor|contrate,120220815457020409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120220815457020409_120220815457020409_facebook_9.jpeg,,22455,121.0,"R$ 287,96",10/03/2025,19/03/2025,287.96,0.5388554887552884,2.3798347107438014,12.823869962146516,82.62508341039833,82.62508341039833,82.62508341039833,92.81675233080695,92.81675233080695,92.81675233080695,7.973065107686561,7.973065107686561,7.973065107686561,,10.363026300982078,82.62508341039833
