creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date
gamers,120228041810870409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120228041810870409_120228041810870409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120228041810870409_120228041810870409_facebook_9.mp4,9404969,5310.0,"R$ 71.728,58",16/05/2025,02/07/2025
oferta-naked,120241013654120409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120241013654120409_120241013654120409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120241013654120409_120241013654120409_facebook_9.mp4,9074016,4302.0,"R$ 70.176,58",01/01/2026,14/01/2026
base-cliente,120217656243720370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120217656243720370_120217656243720370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120217656243720370_120217656243720370_facebook_9.mp4,9032238,76758.0,"R$ 70.167,99",23/10/2024,11/12/2024
,120206502747380348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120206502747380348_120206502747380348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120206502747380348_120206502747380348_facebook_9.mp4,8864510,11503.0,"R$ 67.734,51",26/12/2023,28/12/2023
dia-dos-pais,120231510497220750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120231510497220750_120231510497220750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120231510497220750_120231510497220750_facebook_9.mp4,8626119,7294.0,"R$ 66.757,77",22/07/2025,15/08/2025
dia-das-maes,120228143794970197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120228143794970197_120228143794970197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120228143794970197_120228143794970197_facebook_9.mp4,8622893,56936.0,"R$ 66.388,47",01/05/2025,18/05/2025
kv-hero,120236626845190197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120236626845190197_120236626845190197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120236626845190197_120236626845190197_facebook_9.mp4,8562368,65693.0,"R$ 65.110,12",20/08/2025,20/09/2025
black-friday-v2,120216156522170409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120216156522170409_120216156522170409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120216156522170409_120216156522170409_facebook_9.mp4,8510378,3951.0,"R$ 65.063,28",18/11/2024,03/12/2024
s25,120228453612190750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120228453612190750_120228453612190750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120228453612190750_120228453612190750_facebook_9.mp4,8493604,6031.0,"R$ 64.809,62",05/06/2025,10/06/2025
modem,120218707427300409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120218707427300409_120218707427300409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120218707427300409_120218707427300409_facebook_9.mp4,8424631,5112.0,"R$ 64.652,11",06/02/2025,02/04/2025
